query_id,memory_id,relevance
query_0,memory_0,3
query_0,memory_1,2
query_0,memory_2,1
query_1,memory_5,3
query_1,memory_6,2
query_1,memory_7,1
query_2,memory_10,3
query_2,memory_11,2
query_2,memory_12,1
query_3,memory_15,3
query_3,memory_16,2
query_3,memory_17,1
query_4,memory_20,3
query_4,memory_21,2
query_4,memory_22,1
query_5,memory_25,3
query_5,memory_26,2
query_5,memory_27,1
query_6,memory_30,3
query_6,memory_31,2
query_6,memory_32,1
query_7,memory_35,3
query_7,memory_36,2
query_7,memory_37,1
query_8,memory_40,3
query_8,memory_41,2
query_8,memory_42,1
query_9,memory_45,3
query_9,memory_46,2
query_9,memory_47,1
query_10,memory_0,3
query_10,memory_1,2
query_10,memory_2,1
query_11,memory_5,3
query_11,memory_6,2
query_11,memory_7,1
query_12,memory_10,3
query_12,memory_11,2
query_12,memory_12,1
query_13,memory_15,3
query_13,memory_16,2
query_13,memory_17,1
query_14,memory_20,3
query_14,memory_21,2
query_14,memory_22,1
